entidad_nombre;ambito_nombre;subcategoria_nombre;recurso_programa;descripcion;objetivo;destinatarios;periodo_inicio;periodo_fin;entidad_gestora_nombre;financiacion_nombre;servicio_nombre;activo;contacto_nombre1;contacto_email1;contacto_tel1
Consejería de Salud y Consumo;Inclusión Socio-Familiar;Salud;Grupo Socioeducativo para Habilidades Sociales (GRUSE);;;;;;;;;1;;;
Consejería de Salud y Consumo;Inclusión Socio-Familiar;Salud;Programa de Acompañamiento en el proceso de Eutanasia;Acompañamiento a personas con enfermedad terminal.;Paliar el momento del tránsito a personas con enfermedades terminales y sus familiares.;Personas en proceso de enfermedad terminal.;;;Unidades de Gestión Clínica (U.G.C.) U.G.C.“Los Gallos” y U.G.C. “El Lugar”.;Consejería de Salud y Consumo de la Junta de Andalucía.;;1;Derivaciones a través de medicina general;;
Asoc. Contra el Cáncer;Inclusión Socio-Familiar;Salud;Atención a Pacientes Oncológicos;;;;;;;;;1;;;
Asoc. Contra el Cáncer;Inclusión Socio-Familiar;Salud;Campañas de Prevención/Información;;;;;;;;;1;;;
Asociación de Daño Cerebral Adquirido de Cádiz ADACCA;Inclusión Socio-Familiar;Salud;Residencia Gravemente Afectados ADACCA Los Gallos (17 plazas para DCA);;;;;;;;;1;;;
Asociación de Daño Cerebral Adquirido de Cádiz ADACCA;Inclusión Socio-Familiar;Salud;Programa de Apoyo a la Autonomía Personal y Educativa de niñas y niños afectados por DCA;;;;;;;;;1;;;
Cruz Roja Española;Inclusión Socio-Familiar;Personas Mayores;Proyecto “VIDA: Generando Vínculos de Apoyo” (Promoción de la autonomía);Promocionar la autonomía de personas mayores a través de acciones de apoyo centradas en la persona, que posibiliten la permanencia en el domicilio.;Mejorar la calidad de vida de las personas mayores.;Personas mayores de 65 años y mujeres en vulnerabilidad social.;;;Cruz Roja Española.;Subvención I.R.P.F..;;1;;chiclana@cruzroja.es;
Asociación de Familiares de enfermos de Alzheimer La Aurora;Inclusión Socio-Familiar;Personas Mayores;Atención Integral a Personas con Alzheimer y sus Familias;Atención multidisciplinar a personas que padecen Alzheimer y sus familias.;Mejorar la calidad de vida de las personas afectadas.;Personas mayores con Alzheimer y otras demencias usuarias del centro y sus familiares.;;;Asociación de Familiares de enfermos de Alzheimer La Aurora.;Delegación de Servicios Sociales (Ayto. de Chiclana).;;1;;afaauror@hotmail.com;
Asociación Pro-Derechos Humanos- APDHA;Inclusión Socio-Familiar;Personas Inmigrantes/Emigrantes;Clases de Español (Incluye preparación para la obtención de la nacionalidad);;;;;;;;;1;;;
Asociación Gaditana de Emigrantes Retornados AGADER;Inclusión Socio-Familiar;Personas Inmigrantes/Emigrantes;Información y Orientación para Trabajadores/as en el Extranjero;;;;;;;;;1;;;
Cáritas Diocesana de Cádiz;Inclusión Socio-Familiar;Personas sin hogar;Programa de Personas Sin Hogar (Acompañamiento y cobertura de necesidades básicas);;;;;;;;;1;;;
Seguridad Ciudadana;Mejora del Hábitat y la Convivencia;Seguridad Ciudadana, Movilidad y Transporte;Policía Local de Chiclana (Urgencias: 092 / 112);;;;;;;;;1;;;
Seguridad Ciudadana;Mejora del Hábitat y la Convivencia;Seguridad Ciudadana, Movilidad y Transporte;Protección Civil;;;;;;;;;1;;;
Seguridad Ciudadana;Mejora del Hábitat y la Convivencia;Seguridad Ciudadana, Movilidad y Transporte;Guardia Civil;;;;;;;;;1;;;
Seguridad Ciudadana;Mejora del Hábitat y la Convivencia;Seguridad Ciudadana, Movilidad y Transporte;Policía Nacional (Oficina de tramitación DNI);;;;;;;;;1;;;
Transporte Público;Mejora del Hábitat y la Convivencia;Seguridad Ciudadana, Movilidad y Transporte;Autobús: Líneas Urbanas;;;;;;;;;1;;;
Transporte Público;Mejora del Hábitat y la Convivencia;Seguridad Ciudadana, Movilidad y Transporte;Autobús: Líneas Interurbanas;;;;;;;;;1;;;
Transporte Público;Mejora del Hábitat y la Convivencia;Seguridad Ciudadana, Movilidad y Transporte;Trambahía (Línea T1: Cádiz - San Fernando - Chiclana);;;;;;;;;1;;;
Transporte Público;Mejora del Hábitat y la Convivencia;Seguridad Ciudadana, Movilidad y Transporte;Taxi;;;;;;;;;1;;;
EMSISA;Mejora del Hábitat y la Convivencia;Vivienda;Registro Municipal Demandantes de Vivienda Protegida (RMDVP);;;;;;;;;1;;;
Delegación de Medio Ambiente;Mejora del Hábitat y la Convivencia;Medio Ambiente y Espacios Verdes;Información y Promoción Ambiental;;;;;;;;;1;;;
Delegación de Medio Ambiente;Mejora del Hábitat y la Convivencia;Medio Ambiente y Espacios Verdes;Proyectos Educativos y Participativos;;;;;;;;;1;;;
Delegación de Medio Ambiente;Mejora del Hábitat y la Convivencia;Medio Ambiente y Espacios Verdes;Programas de Limpieza y Control de Residuos;;;;;;;;;1;;;
Delegación de Medio Ambiente;Mejora del Hábitat y la Convivencia;Medio Ambiente y Espacios Verdes;Concienciación sobre la Recogida de Basura;;;;;;;;;1;;;
Delegación de Urbanismo;Mejora del Hábitat y la Convivencia;Urbanismo y Equipamientos;Información y Gestión de Trámites, Licencias;;;;;;;;;1;;;
Delegación de Vías y Obras;Mejora del Hábitat y la Convivencia;Urbanismo y Equipamientos;Información y Atención al Ciudadano;;;;;;;;;1;;;
Delegación de Cultura;Mejora del Hábitat y la Convivencia;Cultura y Deporte;Programación Cultural;;;;;;;;;1;;;
Delegación de Cultura;Mejora del Hábitat y la Convivencia;Cultura y Deporte;Bibliotecas;;;;;;;;;1;;;
Delegación de Deporte;Mejora del Hábitat y la Convivencia;Cultura y Deporte;Programa de Deporte en Edad Escolar;;;;;;;;;1;;;
Delegación de Deporte;Mejora del Hábitat y la Convivencia;Cultura y Deporte;Parque Municipal de Calistenia;;;;;;;;;1;;;
Delegación de Deporte;Mejora del Hábitat y la Convivencia;Cultura y Deporte;Escuelas Deportivas;;;;;;;;;1;;;
Delegación de Participación Ciudadana;Mejora del Hábitat y la Convivencia;Participación Ciudadana;Consejos Sectoriales;Órganos de participación, información, control y propuesta de la gestión municipal, desarrollando funciones de informe y propuesta en iniciativas municipales.;Canalizar la participación de los/as ciudadanos/as y sus asociaciones en los asuntos municipales.;Ciudadanía en general.;;;Delegación de participación ciudadana.;;;1;;;
Delegación de Participación Ciudadana;Mejora del Hábitat y la Convivencia;Participación Ciudadana;Información sobre Constitución de Asociaciones;;;;;;;;;1;;;
Asociación Arrabal-AID;Mejora del Hábitat y la Convivencia;Participación Ciudadana;Conecta Ciudadanía (Acompañamiento en trámites digitales);Acompañamiento a trámites digitales con la administración pública.;Facilitar la gestión de trámites digitales.;Población general.;;;Asociación Arrabal-AID.;Delegación de Servicios Sociales. Excmo. Ayuntamiento de Chiclana de la Frontera.;;1;;chiclana@arrabalempleo.org;
Asociación Arrabal-AID;Mejora del Hábitat y la Convivencia;Participación Ciudadana;“Punto Vuela Solagitas” (Acercamiento a nuevas tecnologías);Acercamiento a las nuevas tecnologías de la información y la comunicación.;Acercar y acompañar a las personas en la utilización de las nuevas tecnologías de la información y la comunicación.;Personas en riesgo de exclusión social en barriadas de transformación social. (Personas desempleadas, menores, jóvenes, personas migrantes);;;ARRABAL.;Junta de Andalucía.;;1;;chiclana@arrabalempleo.org;
Delegación de Turismo;Mejora del Hábitat y la Convivencia;Turismo;Información Turística (Fomento del turismo);;;;;;;;;1;;;
